Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Country/Region,City,State/Province,Postal Code,Division,Region,Product ID,Product Name,Sales,Units,Gross Profit,Cost
9397,US-2024-155425-CHO-MIL-31000,2024-11-10,2030-05-04,First Class,155425,United States,Tucson,Arizona,85705,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,45.5,14,29.54,15.96
7616,US-2024-158218-CHO-MIL-31000,2024-05-12,2029-11-05,Second Class,158218,United States,Houston,Texas,77041,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,13.0,4,8.44,4.56
5792,US-2023-116232-CHO-MIL-31000,2023-09-22,2029-03-18,Standard Class,116232,United States,Pembroke Pines,Florida,33024,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28
3200,US-2022-100734-CHO-MIL-31000,2022-09-15,2028-03-12,Standard Class,100734,United States,Philadelphia,Pennsylvania,19143,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28
8491,US-2024-157987-CHO-MIL-31000,2024-09-02,2030-02-27,Standard Class,157987,United States,New York City,New York,10009,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,3.25,1,2.11,1.14
8497,US-2024-157987-CHO-MIL-31000,2024-09-02,2030-02-27,Standard Class,157987,United States,New York City,New York,10009,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28
8505,US-2024-157987-CHO-MIL-31000,2024-09-02,2030-02-27,Standard Class,157987,United States,New York City,New York,10009,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,19.5,6,12.66,6.84
4474,US-2023-134544-CHO-MIL-31000,2023-03-17,2028-09-08,Second Class,134544,United States,San Francisco,California,94109,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28
4838,US-2023-146934-CHO-MIL-31000,2023-05-22,2028-11-16,Standard Class,146934,United States,Passaic,New Jersey,07055,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,16.25,5,10.55,5.7
7489,US-2024-125269-CHO-MIL-31000,2024-04-24,2029-10-21,Standard Class,125269,United States,Chicago,Illinois,60610,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,3.25,1,2.11,1.14
9541,US-2024-139969-CHO-MIL-31000,2024-11-19,2030-05-19,Standard Class,139969,United States,College Station,Texas,77840,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42
6203,US-2023-115588-CHO-MIL-31000,2023-11-10,2029-05-04,Second Class,115588,United States,Toledo,Ohio,43615,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42
5710,US-2023-105732-CHO-MIL-31000,2023-09-13,2029-03-10,Standard Class,105732,United States,Omaha,Nebraska,68104,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42
7290,US-2024-139416-CHO-MIL-31000,2024-03-27,2029-09-19,Second Class,139416,United States,Philadelphia,Pennsylvania,19120,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28
3712,US-2022-166800-CHO-MIL-31000,2022-11-19,2028-05-18,Standard Class,166800,United States,Las Vegas,Nevada,89115,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,13.0,4,8.44,4.56
9932,US-2024-107748-CHO-MIL-31000,2024-12-10,2030-06-04,Second Class,107748,United States,Stockton,California,95207,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28
10081,US-2024-104927-CHO-MIL-31000,2024-12-22,2030-06-18,Standard Class,104927,United States,Houston,Texas,77095,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,16.25,5,10.55,5.7
382,US-2021-158470-CHO-MIL-31000,2021-04-19,2026-10-14,Second Class,158470,United States,Arlington,Virginia,22204,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,35.75,11,23.21,12.54
6322,US-2023-109820-CHO-MIL-31000,2023-11-20,2029-05-14,First Class,109820,United States,Cincinnati,Ohio,45231,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42
6324,US-2023-109820-CHO-MIL-31000,2023-11-20,2029-05-14,First Class,109820,United States,Cincinnati,Ohio,45231,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28
6329,US-2023-109820-CHO-MIL-31000,2023-11-20,2029-05-14,First Class,109820,United States,Cincinnati,Ohio,45231,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42
2650,US-2022-162201-CHO-MIL-31000,2022-06-08,2027-12-03,Standard Class,162201,United States,Saint Petersburg,Florida,33710,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,22.75,7,14.77,7.98
3501,US-2022-156146-CHO-MIL-31000,2022-10-26,2028-04-21,Second Class,156146,United States,Peoria,Arizona,85345,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28
895,US-2021-167850-CHO-MIL-31000,2021-08-09,2027-02-06,Standard Class,167850,United States,Saint Petersburg,Florida,33710,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42
3122,US-2022-164084-CHO-MIL-31000,2022-09-07,2028-03-04,Standard Class,164084,United States,New York City,New York,10011,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28
3125,US-2022-164084-CHO-MIL-31000,2022-09-07,2028-03-04,Standard Class,164084,United States,New York City,New York,10011,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,13.0,4,8.44,4.56
2507,US-2022-137512-CHO-MIL-31000,2022-05-07,2027-11-02,Standard Class,137512,United States,Allen,Texas,75002,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28
4214,US-2023-133368-CHO-MIL-31000,2023-01-14,2028-07-12,Standard Class,133368,United States,Concord,North Carolina,28027,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,26.0,8,16.88,9.12
4215,US-2023-133368-CHO-MIL-31000,2023-01-14,2028-07-12,Standard Class,133368,United States,Concord,North Carolina,28027,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28
7839,US-2024-146822-CHO-MIL-31000,2024-06-09,2029-12-05,Standard Class,146822,United States,Salem,Virginia,24153,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,13.0,4,8.44,4.56
8231,US-2024-101483-CHO-MIL-31000,2024-07-29,2030-01-22,Second Class,101483,United States,Jacksonville,North Carolina,28540,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28
9090,US-2024-126123-CHO-MIL-31000,2024-10-14,2030-04-10,Standard Class,126123,United States,Chicago,Illinois,60623,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,29.25,9,18.99,10.26
800,US-2021-119137-CHO-MIL-31000,2021-07-23,2027-01-17,Standard Class,119137,United States,Tucson,Arizona,85705,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,3.25,1,2.11,1.14
3169,US-2022-136728-CHO-MIL-31000,2022-09-13,2028-03-09,Second Class,136728,United States,Chicago,Illinois,60623,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,13.0,4,8.44,4.56
4067,US-2022-115399-CHO-MIL-31000,2022-12-19,2028-06-13,First Class,115399,United States,Philadelphia,Pennsylvania,19134,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42
4146,US-2022-148376-CHO-MIL-31000,2022-12-27,2028-06-22,Standard Class,148376,United States,Los Angeles,California,90008,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28
8894,US-2024-116939-CHO-MIL-31000,2024-09-25,2030-03-22,Standard Class,116939,United States,Richmond,Virginia,23223,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,16.25,5,10.55,5.7
4482,US-2023-162747-CHO-MIL-31000,2023-03-20,2028-09-14,Second Class,162747,United States,Gulfport,Mississippi,39503,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,22.75,7,14.77,7.98
10034,US-2024-164000-CHO-MIL-31000,2024-12-18,2030-06-14,Standard Class,164000,United States,Philadelphia,Pennsylvania,19134,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,22.75,7,14.77,7.98
5106,US-2023-144015-CHO-MIL-31000,2023-06-26,2028-12-16,Same Day,144015,United States,Los Angeles,California,90036,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28
5722,US-2023-149797-CHO-MIL-31000,2023-09-15,2029-03-12,Standard Class,149797,United States,New York City,New York,10011,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28
6691,US-2023-145261-CHO-MIL-31000,2023-12-18,2029-06-12,First Class,145261,United States,Salem,Oregon,97301,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,13.0,4,8.44,4.56
6701,US-2023-145261-CHO-MIL-31000,2023-12-18,2029-06-12,First Class,145261,United States,Salem,Oregon,97301,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42
8425,US-2024-123043-CHO-MIL-31000,2024-08-24,2030-02-19,Standard Class,123043,United States,New York City,New York,10024,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,3.25,1,2.11,1.14
9325,US-2024-154732-CHO-MIL-31000,2024-11-05,2030-04-30,First Class,154732,United States,Chicago,Illinois,60623,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,16.25,5,10.55,5.7
3631,US-2022-155040-CHO-MIL-31000,2022-11-10,2028-05-07,Standard Class,155040,United States,Brentwood,California,94513,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28
8501,US-2024-146983-CHO-MIL-31000,2024-09-02,2030-02-27,Standard Class,146983,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42
9086,US-2024-148831-CHO-MIL-31000,2024-10-13,2030-04-07,First Class,148831,United States,Louisville,Kentucky,40214,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,26.0,8,16.88,9.12
2060,US-2022-141243-CHO-MIL-31000,2022-01-03,2027-07-01,Second Class,141243,United States,Dallas,Texas,75217,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,29.25,9,18.99,10.26
2092,US-2022-151547-CHO-MIL-31000,2022-01-17,2027-07-16,Standard Class,151547,United States,Bartlett,Tennessee,38134,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,26.0,8,16.88,9.12
1404,US-2021-162278-CHO-MIL-31000,2021-10-26,2027-04-22,Second Class,162278,United States,Seattle,Washington,98105,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,16.25,5,10.55,5.7
2920,US-2022-112214-CHO-MIL-31000,2022-08-05,2028-02-01,Standard Class,112214,United States,Dallas,Texas,75220,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,22.75,7,14.77,7.98
2921,US-2022-112214-CHO-MIL-31000,2022-08-05,2028-02-01,Standard Class,112214,United States,Dallas,Texas,75220,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42
3639,US-2022-113628-CHO-MIL-31000,2022-11-12,2028-05-11,Standard Class,113628,United States,Plantation,Florida,33317,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28
3645,US-2022-113628-CHO-MIL-31000,2022-11-12,2028-05-11,Standard Class,113628,United States,Plantation,Florida,33317,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,3.25,1,2.11,1.14
5903,US-2023-145709-CHO-MIL-31000,2023-10-04,2029-03-30,Standard Class,145709,United States,Coral Gables,Florida,33134,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42
415,US-2021-131387-CHO-MIL-31000,2021-04-28,2026-10-21,First Class,131387,United States,San Francisco,California,94122,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,16.25,5,10.55,5.7
6178,US-2023-158694-CHO-MIL-31000,2023-11-10,2029-05-05,Second Class,158694,United States,Los Angeles,California,90036,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,29.25,9,18.99,10.26
6202,US-2023-158694-CHO-MIL-31000,2023-11-10,2029-05-05,Second Class,158694,United States,Los Angeles,California,90036,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,13.0,4,8.44,4.56
19,US-2021-149020-CHO-MIL-31000,2021-01-10,2026-07-08,Standard Class,149020,United States,Springfield,Virginia,22153,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,3.25,1,2.11,1.14
6435,US-2023-123617-CHO-MIL-31000,2023-11-28,2029-05-25,Standard Class,123617,United States,Palm Coast,Florida,32137,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,19.5,6,12.66,6.84
5702,US-2023-123946-CHO-MIL-31000,2023-09-12,2029-03-09,Standard Class,123946,United States,Springfield,Virginia,22153,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,16.25,5,10.55,5.7
5703,US-2023-123946-CHO-MIL-31000,2023-09-12,2029-03-09,Standard Class,123946,United States,Springfield,Virginia,22153,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42
2636,US-2022-132836-CHO-MIL-31000,2022-06-01,2027-11-26,Standard Class,132836,United States,Detroit,Michigan,48227,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28
2637,US-2022-132836-CHO-MIL-31000,2022-06-01,2027-11-26,Standard Class,132836,United States,Detroit,Michigan,48227,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28
8469,US-2024-133004-CHO-MIL-31000,2024-08-31,2030-02-26,Standard Class,133004,United States,Lawrence,Indiana,46226,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,29.25,9,18.99,10.26
9015,US-2024-137421-CHO-MIL-31000,2024-10-06,2030-04-03,Standard Class,137421,United States,Chandler,Arizona,85224,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28
5219,US-2023-157000-CHO-MIL-31000,2023-07-16,2029-01-11,Standard Class,157000,United States,Grand Prairie,Texas,75051,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42
5220,US-2023-157000-CHO-MIL-31000,2023-07-16,2029-01-11,Standard Class,157000,United States,Grand Prairie,Texas,75051,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42
7751,US-2024-161340-CHO-MIL-31000,2024-05-28,2029-11-22,Standard Class,161340,United States,Cleveland,Ohio,44105,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,13.0,4,8.44,4.56
9759,US-2024-109701-CHO-MIL-31000,2024-12-02,2030-05-26,Same Day,109701,United States,Los Angeles,California,90032,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,19.5,6,12.66,6.84
9763,US-2024-109701-CHO-MIL-31000,2024-12-02,2030-05-26,Same Day,109701,United States,Los Angeles,California,90032,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28
3316,US-2022-100573-CHO-MIL-31000,2022-09-25,2028-03-23,Standard Class,100573,United States,Los Angeles,California,90004,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28
153,US-2021-127964-CHO-MIL-31000,2021-03-03,2026-08-29,Standard Class,127964,United States,New York City,New York,10035,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,3.25,1,2.11,1.14
6003,US-2023-136322-CHO-MIL-31000,2023-10-21,2029-04-17,Standard Class,136322,United States,Fort Lauderdale,Florida,33311,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28
6536,US-2023-103674-CHO-MIL-31000,2023-12-06,2029-06-01,Standard Class,103674,United States,Los Angeles,California,90032,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,22.75,7,14.77,7.98
947,US-2021-124737-CHO-MIL-31000,2021-08-23,2027-02-17,Standard Class,124737,United States,Denver,Colorado,80219,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,19.5,6,12.66,6.84
948,US-2021-124737-CHO-MIL-31000,2021-08-23,2027-02-17,Standard Class,124737,United States,Denver,Colorado,80219,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,29.25,9,18.99,10.26
954,US-2021-124737-CHO-MIL-31000,2021-08-23,2027-02-17,Standard Class,124737,United States,Denver,Colorado,80219,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,29.25,9,18.99,10.26
1260,US-2021-146969-CHO-MIL-31000,2021-09-29,2027-03-26,Standard Class,146969,United States,Los Angeles,California,90045,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28
1398,US-2021-113047-CHO-MIL-31000,2021-10-24,2027-04-16,Same Day,113047,United States,Rock Hill,South Carolina,29730,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42
6086,US-2023-168893-CHO-MIL-31000,2023-11-03,2029-04-30,Second Class,168893,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,16.25,5,10.55,5.7
6591,US-2023-128412-CHO-MIL-31000,2023-12-10,2029-06-08,Standard Class,128412,United States,Seattle,Washington,98105,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42
6597,US-2023-128412-CHO-MIL-31000,2023-12-10,2029-06-08,Standard Class,128412,United States,Seattle,Washington,98105,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,13.0,4,8.44,4.56
7506,US-2024-168228-CHO-MIL-31000,2024-04-27,2029-10-20,First Class,168228,United States,Los Angeles,California,90045,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28
8600,US-2024-126396-CHO-MIL-31000,2024-09-08,2030-03-05,Second Class,126396,United States,Houston,Texas,77070,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,19.5,6,12.66,6.84
2908,US-2022-164427-CHO-MIL-31000,2022-07-31,2028-01-27,Standard Class,164427,United States,Hattiesburg,Mississippi,39401,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,19.5,6,12.66,6.84
7941,US-2024-140844-CHO-MIL-31000,2024-06-19,2029-12-14,Standard Class,140844,United States,New York City,New York,10035,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,26.0,8,16.88,9.12
3066,US-2022-112319-CHO-MIL-31000,2022-08-31,2028-02-26,Standard Class,112319,United States,Los Angeles,California,90004,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,29.25,9,18.99,10.26
6829,US-2024-113481-CHO-MIL-31000,2024-01-02,2029-06-26,First Class,113481,United States,Jacksonville,North Carolina,28540,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,19.5,6,12.66,6.84
8257,US-2024-162691-CHO-MIL-31000,2024-08-01,2030-01-28,Standard Class,162691,United States,Austin,Texas,78745,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,22.75,7,14.77,7.98
1194,US-2021-156160-CHO-MIL-31000,2021-09-22,2027-03-22,Standard Class,156160,United States,New York City,New York,10035,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42
3615,US-2022-127509-CHO-MIL-31000,2022-11-09,2028-05-05,Standard Class,127509,United States,Springfield,Missouri,65807,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42
5072,US-2023-119865-CHO-MIL-31000,2023-06-21,2028-12-16,Standard Class,119865,United States,New York City,New York,10011,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28
7334,US-2024-145877-CHO-MIL-31000,2024-04-01,2029-09-25,Second Class,145877,United States,Springfield,Missouri,65807,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,16.25,5,10.55,5.7
8727,US-2024-136448-CHO-MIL-31000,2024-09-16,2030-03-11,First Class,136448,United States,Philadelphia,Pennsylvania,19143,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42
